t1,st2,local_name,percent,numpeo,cx,cy
影視娛樂類,關注電影者,士林區蘭雅里,0.416087631816,5090.0,121.527335294,25.1096058824
運動體育類,關注體育：網球者,士林區蘭雅里,0.345622496526,4228.0,121.527335294,25.1096058824
影視娛樂類,關注韓國電視節目者,士林區蘭雅里,0.450584484591,5512.0,121.527335294,25.1096058824
文化展覽類,關注文化藝術訊息者,士林區蘭雅里,0.191122373907,2338.0,121.527335294,25.1096058824
影視娛樂類,關注歐美電視節目者,士林區蘭雅里,0.363524891686,4447.0,121.527335294,25.1096058824
影視娛樂類,音樂:韓國音樂,士林區蘭雅里,0.179677920379,2198.0,121.527335294,25.1096058824
美食戶外旅遊類,關注素食料理者,士林區蘭雅里,0.0293120820738,320.0,121.527335294,25.1096058824
美食戶外旅遊類,關注日本料理者,士林區蘭雅里,0.324286765307,3967.0,121.527335294,25.1096058824
運動體育類,關注體育：籃球者,士林區蘭雅里,0.447396386823,5473.0,121.527335294,25.1096058824
運動體育類,關注體育：格鬥與摔角者,士林區蘭雅里,0.0693206899371,848.0,121.527335294,25.1096058824
美食戶外旅遊類,關注美式料理者,士林區蘭雅里,0.198397776506,2427.0,121.527335294,25.1096058824
運動體育類,關注體育：跑步者,士林區蘭雅里,0.0482301970081,590.0,121.527335294,25.1096058824
影視娛樂類,關注韓國潮流哈韓者,士林區蘭雅里,0.400637619554,4901.0,121.527335294,25.1096058824
美食戶外旅遊類,關注旅遊資訊者,士林區蘭雅里,0.210250960517,2572.0,121.527335294,25.1096058824
身體保健類,關注健康保健者,士林區蘭雅里,0.437995585711,5358.0,121.527335294,25.1096058824
學習教育類,關注教育學習者,士林區蘭雅里,0.496771029183,6077.0,121.527335294,25.1096058824
寵物生活類,關注貓寵物者,士林區蘭雅里,0.109049292896,1334.0,121.527335294,25.1096058824
影視娛樂類,關注搖滾樂者,士林區蘭雅里,0.102006089916,1139.0,121.527335294,25.1096058824
運動體育類,關注體育：賽車者,士林區蘭雅里,0.0487206735878,596.0,121.527335294,25.1096058824
美食戶外旅遊類,關注速食者,士林區蘭雅里,0.165454099567,2024.0,121.527335294,25.1096058824
美食戶外旅遊類,關注戶外休閒者,士林區蘭雅里,0.394588408403,4827.0,121.527335294,25.1096058824
運動體育類,關注體育：足球者,士林區蘭雅里,0.390419357476,4776.0,121.527335294,25.1096058824
美食戶外旅遊類,關注烹飪者,士林區蘭雅里,0.399247935911,4884.0,121.527335294,25.1096058824
身體保健類,關注口腔牙齒治療者,士林區蘭雅里,0.412163819178,5042.0,121.527335294,25.1096058824
運動體育類,關注體育：自行車者,士林區蘭雅里,0.0182741116751,180.0,121.527335294,25.1096058824
寵物生活類,關注狗寵物者,士林區蘭雅里,0.346112973106,4234.0,121.527335294,25.1096058824
運動體育類,關注體育：水上運動者,士林區蘭雅里,0.117060410365,1432.0,121.527335294,25.1096058824
影視娛樂類,關注影視娛樂訊息者,士林區蘭雅里,0.383470939263,4691.0,121.527335294,25.1096058824
美食戶外旅遊類,關注台式料理者,士林區蘭雅里,0.0747159323142,914.0,121.527335294,25.1096058824
運動體育類,關注體育：游泳者,士林區蘭雅里,0.0388679921189,434.0,121.527335294,25.1096058824
影視娛樂類,關注日本電視節目者,士林區蘭雅里,0.318074061964,3891.0,121.527335294,25.1096058824
影視娛樂類,關注日本音樂者,士林區蘭雅里,0.31913676122,3904.0,121.527335294,25.1096058824
運動體育類,關注體育：高爾夫球者,士林區蘭雅里,0.0122693892173,137.0,121.527335294,25.1096058824
影視娛樂類,關注日本潮流哈日者,士林區蘭雅里,0.422627319545,5170.0,121.527335294,25.1096058824
運動體育類,關注體育：棒球者,士林區蘭雅里,0.473473391646,5792.0,121.527335294,25.1096058824
文化展覽類,關注展覽訊息者,士林區蘭雅里,0.0274941787569,307.0,121.527335294,25.1096058824
影視娛樂類,關注古典樂者,士林區蘭雅里,0.0476579743317,583.0,121.527335294,25.1096058824
身體保健類,關注口腔牙齒美容者,士林區蘭雅里,0.0629293762023,687.0,121.527335294,25.1096058824
寵物生活類,關注水族寵物者,士林區蘭雅里,0.289217689855,3538.0,121.527335294,25.1096058824
運動體育類,關注體育：網球者,士林區天山里,0.343615423135,3431.0,121.532538462,25.1208446154
影視娛樂類,關注歐美電視節目者,士林區天山里,0.365548322484,3650.0,121.532538462,25.1208446154
美食戶外旅遊類,關注素食料理者,士林區天山里,0.0228655102501,203.0,121.532538462,25.1208446154
影視娛樂類,關注韓國電視節目者,士林區天山里,0.445768652979,4451.0,121.532538462,25.1208446154
影視娛樂類,關注日本潮流哈日者,士林區天山里,0.410916374562,4103.0,121.532538462,25.1208446154
影視娛樂類,音樂:韓國音樂,士林區天山里,0.176965448172,1767.0,121.532538462,25.1208446154
運動體育類,關注體育：自行車者,士林區天山里,0.0239241223103,169.0,121.532538462,25.1208446154
運動體育類,關注體育：籃球者,士林區天山里,0.444166249374,4435.0,121.532538462,25.1208446154
美食戶外旅遊類,關注日本料理者,士林區天山里,0.326189283926,3257.0,121.532538462,25.1208446154
運動體育類,關注體育：跑步者,士林區天山里,0.043565348022,435.0,121.532538462,25.1208446154
文化展覽類,關注文化藝術訊息者,士林區天山里,0.198998497747,1987.0,121.532538462,25.1208446154
運動體育類,關注體育：格鬥與摔角者,士林區天山里,0.0699048572859,698.0,121.532538462,25.1208446154
影視娛樂類,關注韓國潮流哈韓者,士林區天山里,0.395793690536,3952.0,121.532538462,25.1208446154
寵物生活類,關注貓寵物者,士林區天山里,0.101852779169,1017.0,121.532538462,25.1208446154
美食戶外旅遊類,關注旅遊資訊者,士林區天山里,0.198097145719,1978.0,121.532538462,25.1208446154
學習教育類,關注教育學習者,士林區天山里,0.490936404607,4902.0,121.532538462,25.1208446154
身體保健類,關注健康保健者,士林區天山里,0.433149724587,4325.0,121.532538462,25.1208446154
運動體育類,關注體育：足球者,士林區天山里,0.385578367551,3850.0,121.532538462,25.1208446154
身體保健類,關注口腔牙齒治療者,士林區天山里,0.406409614422,4058.0,121.532538462,25.1208446154
運動體育類,關注體育：賽車者,士林區天山里,0.049474211317,494.0,121.532538462,25.1208446154
美食戶外旅遊類,關注烹飪者,士林區天山里,0.392188282424,3916.0,121.532538462,25.1208446154
影視娛樂類,關注搖滾樂者,士林區天山里,0.0990485728593,989.0,121.532538462,25.1208446154
美食戶外旅遊類,關注速食者,士林區天山里,0.164747120681,1645.0,121.532538462,25.1208446154
美食戶外旅遊類,關注戶外休閒者,士林區天山里,0.393490235353,3929.0,121.532538462,25.1208446154
影視娛樂類,關注日本電視節目者,士林區天山里,0.313069604407,3126.0,121.532538462,25.1208446154
運動體育類,關注體育：水上運動者,士林區天山里,0.109063595393,1089.0,121.532538462,25.1208446154
美食戶外旅遊類,關注美式料理者,士林區天山里,0.189584376565,1893.0,121.532538462,25.1208446154
寵物生活類,關注狗寵物者,士林區天山里,0.345618427641,3451.0,121.532538462,25.1208446154
運動體育類,關注體育：游泳者,士林區天山里,0.0372328706764,338.0,121.532538462,25.1208446154
美食戶外旅遊類,關注台式料理者,士林區天山里,0.0680020030045,679.0,121.532538462,25.1208446154
身體保健類,關注口腔牙齒美容者,士林區天山里,0.0609914872308,609.0,121.532538462,25.1208446154
影視娛樂類,關注影視娛樂訊息者,士林區天山里,0.383274912369,3827.0,121.532538462,25.1208446154
影視娛樂類,關注日本音樂者,士林區天山里,0.327591387081,3271.0,121.532538462,25.1208446154
運動體育類,關注體育：高爾夫球者,士林區天山里,0.0165628539071,117.0,121.532538462,25.1208446154
文化展覽類,關注展覽訊息者,士林區天山里,0.034965034965,240.0,121.532538462,25.1208446154
影視娛樂類,關注電影者,士林區天山里,0.408112168252,4075.0,121.532538462,25.1208446154
運動體育類,關注體育：棒球者,士林區天山里,0.466700050075,4660.0,121.532538462,25.1208446154
寵物生活類,關注水族寵物者,士林區天山里,0.290736104156,2903.0,121.532538462,25.1208446154
影視娛樂類,關注古典樂者,士林區天山里,0.0460691036555,460.0,121.532538462,25.1208446154
影視娛樂類,關注電影者,北投區中央里,0.418883212965,4756.0,121.498536111,25.1295064815
運動體育類,關注體育：網球者,北投區中央里,0.342434384358,3888.0,121.498536111,25.1295064815
影視娛樂類,關注韓國電視節目者,北投區中央里,0.457459926017,5194.0,121.498536111,25.1295064815
文化展覽類,關注文化藝術訊息者,北投區中央里,0.19464505901,2210.0,121.498536111,25.1295064815
影視娛樂類,關注日本潮流哈日者,北投區中央里,0.424872291703,4824.0,121.498536111,25.1295064815
影視娛樂類,關注歐美電視節目者,北投區中央里,0.37079443368,4210.0,121.498536111,25.1295064815
影視娛樂類,音樂:韓國音樂,北投區中央里,0.19992343765,2089.0,121.498536111,25.1295064815
運動體育類,關注體育：自行車者,北投區中央里,0.0244602350369,179.0,121.498536111,25.1295064815
美食戶外旅遊類,關注素食料理者,北投區中央里,0.0299160890186,246.0,121.498536111,25.1295064815
運動體育類,關注體育：格鬥與摔角者,北投區中央里,0.0902956298201,843.0,121.498536111,25.1295064815
